"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
9,"Miguel López",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
27,"Łukasz Krzemienowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
79,"Aaron Arroyo",1,0,0,0,9,0,0,0,0,0,0,0,0,1.000
34,"Illia Sheremeta",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
12,"Piotr Płudowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
68,"Wiktor Szymański",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
17,"Robert Roggenbuck",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
15,"Szymon Skarżynski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","Cesar Malony",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,0,0,12,1,0,0,0,0,0,0,0,1.000
