"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
98,"Filip Sulikowski",1,4,3,0,1,0,1,0,0,0,0,0.333,0,1,0,1,1,2,0,0,0,0,0.000,0.500,0.500,0.333,0.833,0.308,0.667,0.500,0,0,0,0,0,0,0,0.000,25.0,25.0,0.0
67,"Carter Olek",1,4,4,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
77,"Nicholas Di Benedetto",1,3,0,0,0,0,0,0,0,0,0,0.000,2,0,0,0,1,0,0,0,0,0,0.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
78,"Timothy Brown",1,3,2,0,0,0,0,0,0,0,0,0.000,1,1,0,1,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.500,0.333,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
29,"Witold Baranowski",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,2,2,0,1,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.000,0,0,0,0,0,1,0,0.000,33.3,33.3,33.3
45,"Marcin Kurkowiak",1,3,3,0,1,0,1,0,0,0,0,0.333,0,0,2,2,0,0,0,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,0.333,0.333,0,0,0,0,0,1,0,0.000,66.7,66.7,33.3
22,"Kamil Trepczyk",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
21,"Dawid Trepczyk",1,2,2,0,0,0,0,0,0,0,0,0.000,0,2,0,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,50.0,50.0,50.0
7,"Damian Koza",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
5,"Grzegorz Białas",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,29,23,0,2,0,2,0,0,0,0,0.087,4,4,9,13,2,3,1,0,0,0,0.000,0.276,0.276,0.087,0.363,0.146,0.435,0.345,0,0,0,0,0,4,0,0.000,27.6,27.6,20.7
