"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
48,"Jan Pruszyński",1,3,3,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
7,"Phillip Richmond",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
25,"Wiktor Wróbel Habuda",1,3,3,0,0,0,0,0,0,0,0,0.000,0,3,0,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
22,"Hubert Szczeszka",1,3,3,0,1,0,1,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,1.000,1.000,0,0,0,0,0,0,0,0.000,33.3,33.3,0.0
34,"Ian Waldron",1,3,3,1,2,0,2,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0.333,0.667,0.667,0.667,1.333,0.467,1.000,1.000,0,0,0,0,0,0,0,0.000,66.7,66.7,0.0
18,"Tymofil Zadniprianyi",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
5,"Igor Sawczuk",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.333,0.000,0.000,0.000,0.667,0.667,1,0,0,0,0,3,0,0.000,33.3,0.0,0.0
10,"Julian Gruber",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
57,"Tadeusz Romanowski",1,2,2,1,1,0,1,0,0,0,0,0.500,0,1,0,1,0,0,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,0.500,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,0.0
"","TOTALS",1,25,25,2,4,0,4,0,0,0,0,0.160,0,5,2,7,0,0,0,0,0,0,0.080,0.160,0.200,0.160,0.320,0.112,0.720,0.720,1,0,0,0,0,5,0,0.000,20.0,16.0,0.0
