"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
98,"Filip Sulikowski",1,0,0,0,0,2,0,0,0,0,0,0,0,1.000
67,"Carter Olek",1,0,1,1,2,3,0,0,0,0,0,0,0,0.833
77,"Nicholas Di Benedetto",1,0,0,0,9,0,0,0,0,0,0,0,0,1.000
76,"Aliaksandr Fedaruk",1,0,1,1,1,1,0,0,0,0,0,0,0,0.667
5,"Grzegorz Białas",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
29,"Witold Baranowski",1,0,0,0,6,0,9,0,0,0,0,0,0,1.000
45,"Marcin Kurkowiak",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
13,"Jakub Zelewski",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
58,"Wojciech Węcłaś",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
7,"Damian Koza",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
"","TOTALS",1,0,2,2,22,8,9,0,0,0,0,0,0,0.938
