"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","BB","Kc","Ks","SO","HBP","SB","CS","SF","SAC","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP"
24," Taterevich (L3)",1,5,3,1,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0
67," Kuchar (L2)",1,4,4,2,3,0,2,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,2
36," Kurowski",1,4,4,0,1,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,1
32," Kasiński",1,4,2,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
50," Oh (L2)",1,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0
62," Kulik",1,4,4,0,3,0,3,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,3
71," Zawadzki",1,4,2,1,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0
19,"Szymon Mionczyński",1,4,4,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,2,0
75," Philipp",1,4,2,2,1,0,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
20," Myrek",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"","TOTALS",1,37,29,7,9,0,7,2,0,0,6,7,5,7,12,1,8,0,0,0,2,0,0,0,0,21,7
