"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
67," Kuchar (L2)",1,0,0,0,1,2,0,0,1,0,0,0,0,1.000
36," Kurowski",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
32," Kasiński",1,1,1,2,5,0,0,0,0,0,0,0,0,0.714
50," Oh (L2)",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
62," Kulik",1,0,1,1,2,0,0,0,0,0,0,0,0,0.667
71," Zawadzki",1,0,0,0,10,3,15,1,1,0,0,1,0,1.000
19,"Szymon Mionczyński",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
75," Philipp",1,1,1,2,0,2,0,0,0,0,0,0,0,0.500
69," Idzik",1,0,0,0,1,2,0,0,0,0,0,2,0,1.000
"","TOTALS",1,2,4,6,22,10,15,1,1,0,0,3,0,0.842
