"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
4,"Bartek Wycisk",1,0,0,0,13,2,8,0,0,0,0,0,0,1.000
26,"Kacper Urbańczyk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
75,"Roman Pełka",1,0,0,0,2,0,0,0,1,0,0,0,0,1.000
66,"Aleks Polonek",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
41,"Patryk Stanoszek",1,1,1,2,1,1,0,0,0,0,0,0,0,0.500
42,"Emil Dudek",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
13,"Patryk Szczygieł",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
22,"Tomasz Rogowiec",1,0,2,2,1,0,0,0,0,0,0,0,0,0.333
21,"Łukasz Rumpel",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
"","TOTALS",1,1,3,4,20,4,8,0,1,0,0,0,0,0.857
