"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","BB","Kc","Ks","SO","HBP","SB","CS","SF","SAC","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP"
66,"Aleks Polonek",1,6,4,6,3,0,1,2,0,0,4,2,0,0,0,0,2,0,0,0,1,0,0,0,0,4,3
41,"Patryk Stanoszek",1,6,4,2,2,0,0,1,1,0,4,2,0,1,1,0,1,0,0,0,0,0,0,0,0,3,2
75,"Roman Pełka",1,6,4,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1
70,"Emil Dudek",1,6,5,3,3,0,1,2,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2
4,"Bartek Wycisk",1,6,3,2,2,0,0,2,0,0,3,2,0,0,0,1,1,0,0,0,1,0,0,0,0,2,2
58,"Jakub Osiński",1,6,5,1,2,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2
26,"Kacper Urbańczyk",1,4,3,1,0,0,0,0,0,0,0,0,2,1,3,1,2,0,0,0,0,0,0,0,0,3,0
21,"Łukasz Rumpel",1,4,2,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,"Patryk Szczygieł",1,5,3,5,3,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,"Michał Karasiewicz",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"Łukasz Bełok",1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"Mateusz Janus",1,1,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"","TOTALS",1,51,34,27,18,0,6,10,2,0,20,14,2,2,4,3,8,0,0,0,4,0,0,0,0,25,14
