"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
99,"Mateusz Streich",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
2,"Angel Narvaez",1,0,0,0,2,1,0,0,0,0,0,0,0,1.000
"","Javier Hernandez",1,0,0,0,4,1,0,1,0,0,0,0,0,1.000
"","Bartosz Matuszewski",1,0,0,0,3,2,0,0,0,0,0,0,0,1.000
9,"Daniel Charchuła",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
00,"Szymon Szymański",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
95,"Bartosz Maciejewski",1,0,0,0,5,0,0,0,0,0,0,0,0,1.000
28,"Filip Wójtowicz",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
11,"Paweł Sztejka",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
"","TOTALS",1,0,0,0,18,5,0,1,0,0,0,0,0,1.000
