"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
43,"Dobromił Warchoł",1,3,3,0,1,0,1,0,0,0,0,0.333,0,0,0,0,0,0,1,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,0.333,1.000,1.000,0,0,0,0,0,1,1,1.000,33.3,33.3,33.3
7,"Adam Pepłoński",1,3,3,2,2,0,1,1,0,0,1,0.667,0,0,0,0,0,0,0,0,0,0,1.000,0.667,0.667,1.000,1.667,0.550,0.667,1.000,1.000,0,0,0,0,0,1,1,1.000,66.7,66.7,33.3
28,"Kajetan Szafran",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,1,1,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.500,0.333,0,0,0,0,0,1,0,0.000,33.3,33.3,33.3
65,"Yasnier Rivera",1,3,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,1,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,1.000,0.667,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
"","Onay Perez",1,3,3,0,1,0,0,1,0,0,1,0.333,0,1,1,2,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.000,0.317,1.000,0.333,0.333,0,0,0,0,0,2,1,0.500,33.3,33.3,33.3
1,"Piotr Obrębski",1,3,2,0,1,0,1,0,0,0,0,0.500,0,0,0,0,1,0,0,0,0,0,0.000,0.667,0.667,0.500,1.167,0.425,0.500,1.000,0.667,0,0,0,0,0,1,0,0.000,33.3,33.3,0.0
10,"Mikołaj Pietrzyk",1,3,3,1,1,0,1,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.333,0.667,0.233,0.333,1.000,1.000,0,0,0,0,0,0,0,0.000,33.3,33.3,0.0
17,"Konrad Szczepański",1,2,2,1,1,0,1,0,0,0,0,0.500,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,0.500,1.000,1.000,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
42,"Bartek Bartoszewski",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
44,"Jan Różyło",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,26,23,4,7,0,5,2,0,0,2,0.304,1,2,3,5,2,0,1,0,0,0,0.231,0.385,0.385,0.391,0.776,0.271,0.389,0.783,0.692,0,0,0,0,0,9,4,0.444,30.8,30.8,19.2
