"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
43,"Dobromił Warchoł",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
7,"Adam Pepłoński",1,0,1,1,2,0,0,0,0,0,0,0,0,0.667
28,"Kajetan Szafran",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
65,"Yasnier Rivera",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500
"","Onay Perez",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
1,"Piotr Obrębski",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
10,"Mikołaj Pietrzyk",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
17,"Konrad Szczepański",1,0,0,0,10,2,6,2,0,0,0,0,0,1.000
42,"Bartek Bartoszewski",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
44,"Jan Różyło",1,0,1,1,1,0,2,0,0,0,0,0,0,0.500
"","TOTALS",1,0,4,4,18,5,8,2,0,0,0,0,0,0.852
