"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
"","Radosław Zajda",1,4,4,1,2,0,2,0,0,0,0,0.500,0,1,0,1,0,0,1,0,0,0,0.250,0.500,0.750,0.500,1.000,0.350,0.667,0.750,0.750,1,0,0,0,0,1,0,0.000,50.0,50.0,0.0
2,"Angel Narvaez",1,3,3,2,2,0,1,1,0,0,0,0.667,0,0,1,1,0,1,0,0,0,0,0.667,0.667,0.667,1.000,1.667,0.550,1.000,0.667,0.667,0,0,0,0,0,1,0,0.000,100.0,100.0,66.7
"","Javier Hernandez",1,5,4,5,4,0,1,2,0,1,2,1.000,1,0,0,0,0,1,0,0,0,0,1.200,1.000,1.000,2.250,3.250,1.013,1.000,1.000,0.800,0,0,0,0,0,1,1,1.000,80.0,80.0,40.0
"","Bartosz Matuszewski",1,4,2,0,1,0,0,1,0,0,2,0.500,1,0,0,0,1,1,0,0,0,0,0.500,0.750,0.750,1.000,1.750,0.588,0.500,1.000,0.500,0,0,0,0,0,2,1,0.500,25.0,25.0,25.0
1,"Juliusz Liwoch",1,3,3,0,2,0,1,1,0,0,3,0.667,0,0,1,1,0,2,0,0,0,0,1.000,0.667,0.667,1.000,1.667,0.550,1.000,0.667,0.667,0,0,0,0,0,3,2,0.667,66.7,66.7,66.7
9,"Daniel Charchuła",1,5,5,0,1,0,1,0,0,0,0,0.200,0,0,1,1,0,1,0,0,0,0,0.000,0.200,0.400,0.200,0.400,0.140,0.250,0.800,0.800,1,0,0,0,0,5,1,0.200,40.0,40.0,40.0
46,"Maksym  Strakhov",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,2,0,0.000,0.0,0.0,0.0
11,"Paweł Sztejka",1,3,1,1,1,0,1,0,0,0,0,1.000,1,0,0,0,1,0,1,0,0,0,0.333,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.333,0,0,0,0,0,0,0,0.000,66.7,66.7,33.3
77,"Mateusz Falkowski",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
99,"Mateusz Streich",1,2,2,1,1,0,1,0,0,0,0,0.500,0,0,1,1,0,0,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,1.000,0.500,0.500,0,0,0,0,0,2,1,0.500,100.0,100.0,100.0
7,"Oskar Wąsik",1,3,3,2,1,0,1,0,0,0,0,0.333,0,0,2,2,0,1,0,0,0,0,0.667,0.333,0.333,0.333,0.667,0.233,1.000,0.333,0.333,0,0,0,0,0,1,0,0.000,66.7,66.7,33.3
28,"Filip Wójtowicz",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
4,"Bartosz Zera",1,1,1,1,1,0,1,0,0,0,1,1.000,0,0,0,0,0,0,0,0,0,0,2.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
95,"Bartosz Maciejewski",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
"","Edwin Hernandez",1,2,1,2,1,0,1,0,0,0,1,1.000,1,0,0,0,0,1,0,0,0,0,1.500,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.500,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
5,"Mateusz Kosiński",1,2,0,0,0,0,0,0,0,0,0,0.000,1,0,0,0,1,0,0,0,0,0,0.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
"","TOTALS",1,43,35,15,17,0,11,5,0,1,9,0.486,5,2,9,11,3,8,2,0,0,0,0.535,0.581,0.628,0.714,1.296,0.440,0.696,0.686,0.558,2,0,0,0,0,23,8,0.348,53.5,53.5,37.2
