"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
40,"Gracjan Bielecki",1,4,4,0,2,0,1,1,0,0,1,0.500,0,1,0,1,0,0,0,0,0,0,0.250,0.500,0.500,0.750,1.250,0.413,0.667,0.750,0.750,0,0,0,0,0,2,1,0.500,50.0,50.0,25.0
1,"Edgar Toro",1,4,2,1,0,0,0,0,0,0,0,0.000,2,1,1,2,0,2,0,0,0,0,0.250,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,75.0,75.0,75.0
23,"Jakub Wojtczak",1,3,3,0,2,0,2,0,0,0,0,0.667,0,1,0,1,0,1,0,0,0,0,0.000,0.667,0.667,0.667,1.333,0.467,1.000,0.667,0.667,0,0,0,0,0,2,2,1.000,100.0,100.0,100.0
21,"Artur Wojtczak",1,3,3,0,1,0,1,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,0.333,1.000,1.000,0,0,0,0,0,3,1,0.333,33.3,33.3,33.3
6,"Wojciech Zagawa",1,3,2,1,0,0,0,0,0,0,1,0.000,0,0,0,0,1,0,0,0,0,0,0.667,0.333,0.333,0.000,0.333,0.150,0.000,1.000,0.667,0,1,0,0,0,1,0,0.000,33.3,33.3,33.3
17,"Mateusz Serafin",1,3,3,0,1,0,0,1,0,0,1,0.333,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.000,0.317,0.333,1.000,1.000,0,0,0,0,0,2,1,0.500,33.3,33.3,33.3
16,"Michał Nowicki",1,3,3,0,1,0,1,0,0,0,0,0.333,0,1,1,2,0,0,0,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,1.000,0.333,0.333,0,0,0,0,0,1,0,0.000,33.3,33.3,0.0
12,"Anderson Reyes",1,3,1,1,0,0,0,0,0,0,0,0.000,1,0,1,1,1,0,0,0,0,0,0.333,0.667,0.667,0.000,0.667,0.300,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
7,"Eryk Kieruńczak",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,1,0,1,0,0.000,0.0,0.0,0.0
13,"Kacper Kamiński",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,29,24,3,7,0,5,2,0,0,3,0.292,3,4,3,7,2,3,0,0,0,0,0.207,0.414,0.414,0.375,0.789,0.280,0.412,0.708,0.586,0,1,0,1,0,13,5,0.385,44.8,44.8,37.9
