"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
48,"Jan Pruszyński",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
7,"Phil Richmond",1,3,3,0,1,0,1,0,0,0,0,0.333,0,1,1,2,0,0,0,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,1.000,0.333,0.333,0,0,0,0,0,0,0,0.000,100.0,100.0,66.7
22,"Hubert Szczeszka",1,3,3,1,2,0,2,0,0,0,0,0.667,0,0,0,0,0,3,0,0,0,0,0.333,0.667,0.667,0.667,1.333,0.467,0.667,1.000,1.000,0,0,0,0,0,0,0,0.000,66.7,66.7,0.0
25,"Wiktor Wróbel Habuda",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,1,1,0,1,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.500,0.333,0,0,0,0,0,1,0,0.000,33.3,33.3,33.3
9,"Juan Godoy Uzcategui",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,2,2,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.000,0.000,0,0,0,0,0,2,0,0.000,33.3,33.3,33.3
18,"Tymofii Zadniprianyi",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,1,0,0,0,0,0,0.000,0.0,0.0,0.0
5,"Igor Sawczuk",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
29,"Mikołaj Wąsiewicz",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,3,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
2,"Yarosłav Faryha",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
"","TOTALS",1,26,24,1,3,0,3,0,0,0,0,0.125,2,1,11,12,0,4,0,0,0,0,0.038,0.192,0.192,0.125,0.317,0.118,0.250,0.500,0.462,0,1,0,0,0,3,0,0.000,34.6,34.6,23.1
