"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
48,"Jan Pruszyński",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
7,"Phil Richmond",1,0,0,0,0,0,0,0,0,0,0,2,0,0.000
22,"Hubert Szczeszka",1,0,1,1,2,2,0,0,1,0,0,0,0,0.800
25,"Wiktor Wróbel Habuda",1,0,0,0,7,0,3,0,0,0,0,2,0,1.000
9,"Juan Godoy Uzcategui",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
18,"Tymofii Zadniprianyi",1,0,0,0,3,2,0,0,1,0,0,0,0,1.000
5,"Igor Sawczuk",1,0,0,0,4,0,0,0,1,0,0,0,0,1.000
29,"Mikołaj Wąsiewicz",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
2,"Yarosłav Faryha",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,1,1,18,5,3,0,1,0,0,4,0,0.958
