"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","BBi","Kc","Ks","SO","HBP","SB","CS","PK","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","LOBi","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","TP","QAB1%","QAB2%","QAB3%"
44,"Gabriel Wilichnowski",1,5,4,0,1,0,1,0,0,0,1,0.250,1,0,0,0,0,0,0,0,0,0,0,0,0.200,0.400,0.400,0.250,0.650,0.243,0.250,1.000,0.800,2,0,1,0,0,0,1,0,0.000,21,60.0,60.0,60.0
13,"Carlos Salas",1,5,4,1,1,0,1,0,0,0,1,0.250,0,0,0,0,0,0,2,0,0,0,1,1,0.400,0.200,0.200,0.250,0.450,0.153,0.200,1.000,0.800,4,0,1,0,0,0,1,0,0.000,14,60.0,60.0,40.0
12,"Cooper McDonnel",1,4,3,0,0,0,0,0,0,0,0,0.000,1,0,0,2,2,0,1,0,0,0,0,0,0.000,0.250,0.250,0.000,0.250,0.113,0.000,0.333,0.250,3,0,0,0,0,0,2,0,0.000,22,50.0,50.0,50.0
72,"Dominik Grzecicha",1,4,4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.250,0.000,0.000,0.000,0.000,1.000,1.000,1,1,0,0,0,0,1,0,0.000,13,0.0,0.0,0.0
51,"Dawid Korzekwa",1,4,1,3,1,0,1,0,0,0,0,1.000,3,0,0,0,0,0,4,0,0,0,0,0,0.750,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.250,0,0,0,0,0,0,0,0,0.000,19,50.0,50.0,25.0
25,"Franciszek Dudek",1,4,3,1,1,0,1,0,0,0,1,0.333,0,0,0,0,0,1,0,0,0,0,0,0,0.500,0.500,0.500,0.333,0.833,0.308,0.333,1.000,0.750,4,0,0,0,0,0,3,1,0.333,18,25.0,25.0,25.0
5,"Tomas Romo",1,4,2,0,0,0,0,0,0,0,0,0.000,1,0,0,1,1,1,0,0,1,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.500,0.250,2,0,0,0,0,0,2,0,0.000,13,0.0,0.0,0.0
28,"Jakub Szymura",1,4,2,1,0,0,0,0,0,0,1,0.000,1,0,0,0,0,1,0,0,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,1.000,0.500,4,0,1,0,0,0,2,0,0.000,13,25.0,25.0,25.0
22,"Szymon Garus",1,4,2,2,0,0,0,0,0,0,0,0.000,2,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,1.000,0.500,3,0,0,0,0,0,1,0,0.000,15,0.0,0.0,0.0
9,"Maksymilian Serwotka",1,0,0,1,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0,0.0,0.0,0.0
"","TOTALS",1,38,25,9,4,0,4,0,0,0,4,0.160,9,0,0,3,3,3,7,0,1,0,1,1,0.342,0.421,0.447,0.160,0.581,0.229,0.174,0.880,0.579,23,1,3,0,0,0,13,1,0.077,148,31.6,31.6,26.3
