"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP","FP1","FP2","FP3","FP4","FP5","FP6","FP7","FP8","FP9","IP","OP1","OP2","OP3","OP4","OP5","OP6","OP7","OP8","OP9"
25,"Franciszek Dudek",1,0,0,0,3,1,0,0,0,0,0,0,0,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,6.00,0,0,18,0,0,0,0,0,0
12,"Cooper McDonnel",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,5.00,0,0,0,0,0,15,0,0,0
13,"Carlos Salas",1,0,2,2,2,2,0,0,0,0,0,0,1,0.667,0.667,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,6.00,9,0,0,0,9,0,0,0,0
41,"Szymon Dwojakowski",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,6.00,0,0,0,0,0,0,18,0,0
72,"Dominik Grzecicha",1,0,0,0,6,1,1,0,0,0,0,0,0,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.00,0,18,0,0,0,0,0,0,0
51,"Dawid Korzekwa",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,6.00,0,0,0,0,0,0,0,18,0
18,"Przemyslaw Sobik",1,0,1,1,2,0,0,0,0,0,0,0,0,0.667,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,6.00,0,0,0,9,6,3,0,0,0
5,"Tomas Romo",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,3.00,0,0,0,9,0,0,0,0,0
24,"Adrian Mularczyk",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,5.00,0,0,0,0,0,0,0,0,15
28,"Jakub Szymura",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.00,9,0,0,0,0,0,0,0,0
9,"Maksymilian Serwotka",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,1.00,0,0,0,0,3,0,0,0,0
22,"Szymon Garus",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0,0,0,0,0,0,0,0,3
"","TOTALS",1,0,4,4,19,6,1,0,0,0,0,0,1,0.862,0.667,1.000,1.000,1.000,0.500,1.000,1.000,1.000,1.000,54.00,18,18,18,18,18,18,18,18,18
