"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","BBi","Kc","Ks","SO","HBP","SB","CS","PK","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","LOBi","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","TP","QAB1%","QAB2%","QAB3%"
32,"Stanislaw Struminski",1,5,4,0,1,0,1,0,0,0,1,0.250,1,0,1,0,1,0,0,0,0,0,0,0,0.200,0.400,0.600,0.250,0.650,0.243,0.333,0.750,0.600,2,1,0,0,0,0,2,1,0.500,17,40.0,40.0,40.0
16,"Szymon Krolik",1,4,4,1,1,0,1,0,0,0,2,0.250,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0.250,0.500,0.250,0.500,0.175,0.250,1.000,1.000,3,1,0,0,0,0,2,1,0.500,10,25.0,25.0,25.0
53,"Patryk Wezgowiec",1,4,3,2,1,0,1,0,0,0,1,0.333,1,0,0,0,0,0,1,0,0,0,0,0,0.750,0.500,0.500,0.333,0.833,0.308,0.333,1.000,0.750,2,0,0,0,0,0,2,1,0.500,10,25.0,25.0,25.0
69,"Grzegorz Motas",1,4,2,1,1,0,1,0,0,0,1,0.500,1,0,0,0,0,1,0,0,0,0,0,0,0.500,0.750,0.750,0.500,1.250,0.463,0.500,1.000,0.500,1,0,0,0,0,0,2,1,0.500,13,50.0,50.0,50.0
04,"Patryk Zajac",1,4,4,0,2,0,2,0,0,0,1,0.500,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.500,0.500,0.500,1.000,0.350,0.500,1.000,1.000,3,0,2,0,0,0,3,2,0.667,9,50.0,50.0,50.0
13,"Maksymilian Herc",1,4,2,2,1,0,1,0,0,0,1,0.500,2,0,1,0,1,0,0,0,0,0,0,0,0.750,0.750,0.750,0.500,1.250,0.463,1.000,0.500,0.250,1,0,0,0,0,0,1,1,1.000,14,25.0,25.0,25.0
33,"Adam Dublasiewicz",1,4,4,1,0,0,0,0,0,0,0,0.000,0,0,1,1,2,0,0,0,0,0,0,0,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,6,0,1,0,0,0,2,0,0.000,13,0.0,0.0,0.0
01,"Marcel Slomian",1,4,2,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,1,0,0,0,0,0,0,0.250,0.500,0.750,0.000,0.500,0.225,0.000,1.000,0.500,0,1,0,0,0,0,1,0,0.000,17,25.0,25.0,25.0
50,"Kacper Blacha",1,4,3,0,1,0,1,0,0,0,1,0.333,0,0,0,2,2,1,0,0,0,0,0,0,0.250,0.500,0.500,0.333,0.833,0.308,1.000,0.333,0.250,6,0,0,0,0,0,3,1,0.333,17,50.0,50.0,50.0
12,"Niko Krzywdzinski",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0,0.0,0.0,0.0
"","TOTALS",1,37,28,8,8,0,8,0,0,0,8,0.286,6,0,3,3,6,3,1,0,1,0,0,0,0.432,0.459,0.541,0.286,0.745,0.278,0.364,0.786,0.595,24,3,3,0,0,0,18,8,0.444,120,32.4,32.4,32.4
