"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP","FP1","FP2","FP3","FP4","FP5","FP6","FP7","FP8","FP9","IP","OP1","OP2","OP3","OP4","OP5","OP6","OP7","OP8","OP9"
32,"Stanislaw Struminski",1,0,0,0,4,1,0,0,1,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,5.67,0,0,0,0,0,0,0,17,0
16,"Szymon Krolik",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,4.67,5,0,0,0,0,0,9,0,0
53,"Patryk Wezgowiec",1,0,0,0,2,0,3,0,0,0,0,0,0,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.67,5,9,0,0,0,3,0,0,0
69,"Grzegorz Motas",1,1,1,2,3,1,0,0,1,0,0,0,0,0.667,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,5.67,0,0,17,0,0,0,0,0,0
04,"Patryk Zajac",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.67,0,0,0,0,17,0,0,0,0
13,"Maksymilian Herc",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,5.67,0,0,0,0,0,0,0,0,17
33,"Adam Dublasiewicz",1,0,0,0,2,0,1,0,0,0,0,0,0,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.67,4,8,0,0,0,0,5,0,0
01,"Marcel Slomian",1,0,1,1,2,1,0,0,0,0,0,0,0,0.750,0.000,0.000,0.000,0.750,0.000,0.000,0.000,0.000,0.000,5.67,0,0,0,17,0,0,0,0,0
50,"Kacper Blacha",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,5.67,3,0,0,0,0,14,0,0,0
12,"Niko Krzywdzinski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0,0,0,0,0,0,3,0,0
"","TOTALS",1,1,2,3,18,3,4,0,1,0,0,0,0,0.875,1.000,1.000,0.667,0.750,0.000,1.000,1.000,1.000,1.000,51.00,17,17,17,17,17,17,17,17,17
