"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
18,"Tymofii Zadniprianyi",1,5,4,3,2,0,1,1,0,0,1,0.500,1,0,0,0,0,0,0,0,0,0,0.800,0.600,0.600,0.750,1.350,0.458,0.500,1.000,0.800,0,0,0,0,0,2,1,0.500,80.0,80.0,60.0
7,"Phil Richmond",1,5,5,3,3,0,3,0,0,0,2,0.600,0,0,0,0,0,1,0,0,0,0,1.000,0.600,0.600,0.600,1.200,0.420,0.600,1.000,1.000,0,0,0,0,0,4,2,0.500,80.0,80.0,60.0
34,"Ian Waldron",1,5,5,3,5,0,4,1,0,0,5,1.000,0,0,0,0,0,0,0,0,0,0,1.600,1.000,1.000,1.200,2.200,0.750,1.000,1.000,1.000,0,0,0,0,0,5,5,1.000,100.0,100.0,100.0
5,"Igor Sawczuk",1,4,4,2,2,0,1,0,1,0,5,0.500,0,0,1,1,0,0,0,0,0,0,1.750,0.500,0.750,1.000,1.500,0.475,0.667,0.750,0.750,1,0,0,0,0,4,2,0.500,75.0,75.0,75.0
10,"Julian Gruber",1,4,3,2,0,0,0,0,0,0,1,0.000,0,0,1,1,1,1,0,0,0,0,0.750,0.250,0.500,0.000,0.250,0.113,0.000,0.667,0.500,1,1,0,0,0,2,0,0.000,25.0,25.0,25.0
29,"Mikołaj Wąsiewicz",1,4,2,0,1,0,1,0,0,0,2,0.500,1,0,1,1,0,2,0,0,1,1,0.500,0.500,0.500,0.500,1.000,0.350,0.500,0.500,0.250,0,0,0,0,0,2,1,0.500,75.0,75.0,75.0
44,"Dawid Skarżycki",1,4,4,2,2,0,2,0,0,0,3,0.500,0,0,0,0,0,1,0,0,0,0,1.250,0.500,0.750,0.500,1.000,0.350,0.500,1.000,1.000,1,0,0,0,0,3,2,0.667,50.0,50.0,50.0
26,"Heorhi Mikhalchanka",1,3,1,2,0,0,0,0,0,0,0,0.000,2,0,0,0,0,3,0,0,0,0,0.667,0.667,0.667,0.000,0.667,0.300,0.000,1.000,0.333,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
20,"Wiktor Mantorski",1,2,0,2,0,0,0,0,0,0,0,0.000,2,0,0,0,0,1,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
57,"Tadeusz Romanowski",1,2,1,2,1,0,1,0,0,0,0,1.000,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,0.0
45,"Eduardo Ferrer",1,1,1,1,1,0,1,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,100.0,0.0
"","TOTALS",1,39,30,22,17,0,14,2,1,0,19,0.567,7,0,3,3,1,9,0,0,1,1,1.051,0.641,0.718,0.700,1.341,0.463,0.607,0.900,0.692,3,1,0,0,0,23,13,0.565,66.7,66.7,56.4
