"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
18,"Tymofii Zadniprianyi",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
7,"Phil Richmond",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
34,"Ian Waldron",1,0,0,0,6,0,0,0,0,0,0,0,0,1.000
5,"Igor Sawczuk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
10,"Julian Gruber",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
29,"Mikołaj Wąsiewicz",1,0,0,0,6,1,1,0,0,0,0,0,0,1.000
44,"Dawid Skarżycki",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
26,"Heorhi Mikhalchanka",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
20,"Wiktor Mantorski",1,0,1,1,0,1,0,0,0,0,0,0,0,0.500
57,"Tadeusz Romanowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,1,1,12,3,1,0,0,0,0,0,0,0.938
