"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
43,"Dobromił Warchoł",1,2,1,1,1,0,1,0,0,0,0,1.000,0,0,0,0,1,0,0,0,0,0,0.500,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,0.0
31,"Cheng An Cheng",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500,0.500,1,0,0,0,0,0,0,0.000,0.0,0.0,0.0
22,"Mariusz Staniak",1,2,2,1,1,0,1,0,0,0,0,0.500,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,0.500,1.000,1.000,0,0,0,0,0,1,0,0.000,50.0,50.0,0.0
45,"Patryk Dycha",1,2,2,0,1,0,1,0,0,0,1,0.500,0,0,1,1,0,1,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,1.000,0.500,0.500,0,0,0,0,0,2,1,0.500,50.0,50.0,50.0
4,"Tomasz Buławko",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,2,0,0.000,50.0,50.0,50.0
70,"Piotr Gr?",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
66,"Filip Stelmach",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
42,"Bartek Bartoszewski",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","Kacper Wawrzyn",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,17,16,2,3,0,3,0,0,0,1,0.188,0,4,3,7,1,1,0,0,0,0,0.176,0.235,0.294,0.188,0.423,0.153,0.333,0.563,0.529,1,0,0,0,0,5,1,0.200,29.4,29.4,17.6
