"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
43,"Dobromił Warchoł",1,0,1,1,4,0,15,0,0,0,0,0,0,0.800
"","An Chang Chang",1,0,0,0,2,1,0,0,0,0,0,0,0,1.000
70,"Piotr Gruszka",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
22,"Mariusz Staniak",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
45,"Patryk Dycha",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
56,"Artur Laszek",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
66,"Filip Stelmach",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","Kacper Wawrzyn",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
4,"Tomasz Buławko",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
9,"Paweł Zawadzki",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,1,1,13,3,15,0,0,0,0,0,0,0.941
