"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
9,"Miguel Lopez",1,4,3,2,2,0,1,1,0,0,1,0.667,1,0,0,0,0,1,0,0,0,0,0.750,0.750,1.000,1.000,1.750,0.588,0.667,1.000,0.750,1,0,0,0,0,1,1,1.000,75.0,75.0,75.0
63,"Franciszek Filozof",1,4,3,2,0,0,0,0,0,0,0,0.000,1,2,0,2,0,1,0,0,0,0,0.500,0.250,0.500,0.000,0.250,0.113,0.000,0.333,0.250,1,0,0,0,0,2,0,0.000,0.0,0.0,0.0
79,"Aaron Arroyo",1,4,2,0,0,0,0,0,0,0,1,0.000,1,0,0,0,0,1,0,0,1,1,0.250,0.250,0.250,0.000,0.250,0.113,0.000,1.000,0.500,0,0,0,0,0,1,0,0.000,25.0,25.0,25.0
34,"Illia Sheremeta",1,4,2,0,0,0,0,0,0,0,1,0.000,1,1,0,1,1,0,0,0,0,0,0.250,0.500,0.500,0.000,0.500,0.225,0.000,0.500,0.250,0,1,0,0,0,1,0,0.000,25.0,25.0,25.0
12,"Piotr Płudowski",1,4,4,0,2,0,1,1,0,0,1,0.500,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.750,0.750,1.250,0.413,0.500,1.000,1.000,1,1,0,0,0,2,0,0.000,75.0,75.0,25.0
24,"Jefte Medina",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,0,0,0,0,3,0,0.000,0.0,0.0,0.0
20,"jakub Lenhart",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,2,0,0.000,0.0,0.0,0.0
17,"Robert Roggenbuck",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
54,"Marek Kubiszewski",1,3,3,2,2,0,1,1,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.000,1.667,0.550,0.667,1.000,1.000,0,0,0,0,0,0,0,0.000,66.7,66.7,0.0
27,"Łukasz Krzemienowski",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
15," Skarżyński",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
"","TOTALS",1,33,27,6,6,0,3,3,0,0,4,0.222,4,4,2,6,1,3,0,0,1,1,0.303,0.333,0.424,0.333,0.667,0.233,0.273,0.778,0.636,3,2,0,0,0,14,1,0.071,30.3,30.3,18.2
