"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
9,"Miguel Lopez",1,0,1,1,3,1,0,0,0,0,0,0,0,0.800
63,"Franciszek Filozof",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
79,"Aaron Arroyo",1,0,0,0,7,1,1,1,0,0,1,0,0,1.000
34,"Illia Sheremeta",1,0,0,0,1,3,0,0,0,0,0,0,0,1.000
12,"Piotr Płudowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
24,"Jefte Medina",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
17,"Robert Roggenbuck",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
54,"Marek Kubiszewski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
27,"Łukasz Krzemienowski",1,0,0,0,2,1,0,0,0,0,0,6,0,1.000
15," Skarżyński",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
"","TOTALS",1,0,2,2,21,6,1,1,0,0,1,6,0,0.931
