"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
51," Korzekwa",1,4,4,1,2,0,2,0,0,0,0,0.500,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.500,0.500,1.000,0.350,0.500,1.000,1.000,0,0,0,0,0,2,2,1.000,50.0,50.0,50.0
44," Wilichnowski",1,4,3,1,0,0,0,0,0,0,0,0.000,1,2,0,2,0,0,0,0,0,0,0.250,0.250,0.250,0.000,0.250,0.113,0.000,0.333,0.250,0,0,0,0,0,1,0,0.000,25.0,25.0,25.0
12," McDonell",1,4,3,1,1,0,1,0,0,0,0,0.333,1,0,0,0,0,0,0,0,0,0,0.250,0.500,0.500,0.333,0.833,0.308,0.333,1.000,0.750,0,0,0,0,0,1,0,0.000,50.0,50.0,25.0
13," Salas",1,4,1,0,1,0,1,0,0,0,1,1.000,3,0,0,0,0,1,1,0,0,0,0.250,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.250,0,0,0,0,0,1,1,1.000,75.0,75.0,75.0
41," Dwojakowski",1,4,4,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,3,0,0.000,50.0,50.0,50.0
5," Romo",1,4,2,0,0,0,0,0,0,0,1,0.000,0,0,0,0,1,0,0,0,1,1,0.250,0.250,0.250,0.000,0.250,0.113,0.000,1.000,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
18," Sobik",1,4,3,0,0,0,0,0,0,0,0,0.000,1,0,2,2,0,0,0,0,0,0,0.000,0.250,0.250,0.000,0.250,0.113,0.000,0.333,0.250,0,0,0,0,0,1,0,0.000,25.0,25.0,25.0
09," Serwotka",1,3,2,1,0,0,0,0,0,0,0,0.000,1,0,1,1,0,0,0,0,0,0,0.333,0.333,0.667,0.000,0.333,0.150,0.000,0.500,0.333,1,0,0,0,0,0,0,0.000,66.7,66.7,66.7
28," Szymura",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,1.000,0.667,0,0,0,0,0,1,0,0.000,33.3,33.3,33.3
"","TOTALS",1,34,24,4,4,0,4,0,0,0,2,0.167,8,2,5,7,1,1,1,0,1,1,0.176,0.382,0.412,0.167,0.549,0.214,0.222,0.708,0.500,1,0,0,0,0,10,3,0.300,47.1,47.1,44.1
