"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
51," Korzekwa",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
44," Wilichnowski",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
12," McDonell",1,0,1,1,0,4,0,0,0,0,0,0,0,0.800
13," Salas",1,0,0,0,8,0,3,0,0,0,1,1,0,1.000
41," Dwojakowski",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
5," Romo",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
18," Sobik",1,0,0,0,0,4,0,0,0,0,0,0,0,1.000
09," Serwotka",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
28," Szymura",1,1,1,2,7,0,0,0,0,0,0,0,0,0.778
24," Mularczyk",1,0,0,0,0,0,0,0,0,0,0,6,0,0.000
"","TOTALS",1,1,3,4,19,8,3,0,0,0,1,7,0,0.871
