"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
32," Strumiński",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
06," Mańdok",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
53," Weżgowiec",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
01," Słomian",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
04," Zając",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
13," Herc",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
48," Krajewski",1,0,0,0,5,0,0,0,0,0,0,0,0,1.000
33," Dublasiewicz",1,0,0,0,9,0,2,0,0,0,0,0,0,1.000
58," De Matos",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
56," Potempa",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,0,0,15,2,2,0,0,0,0,0,0,1.000
