"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
32," Strumiński",1,4,3,2,2,0,1,0,1,0,1,0.667,1,0,0,0,0,2,0,0,0,0,0.750,0.750,0.750,1.333,2.083,0.671,0.667,1.000,0.750,0,0,0,0,0,1,1,1.000,75.0,75.0,50.0
01," Słomian",1,4,4,2,2,0,1,0,1,0,2,0.500,0,0,0,0,0,0,0,0,0,0,1.000,0.500,0.500,1.000,1.500,0.475,0.500,1.000,1.000,0,0,0,0,0,2,2,1.000,50.0,50.0,50.0
53," Weżgowiec",1,4,4,1,1,0,1,0,0,0,1,0.250,0,0,1,1,0,1,0,0,0,0,0.500,0.250,0.250,0.250,0.500,0.175,0.333,0.750,0.750,0,0,0,0,0,1,0,0.000,50.0,50.0,25.0
33," Dublasiewicz",1,4,3,3,3,0,2,0,1,0,2,1.000,1,0,0,0,0,3,0,0,0,0,1.250,1.000,1.000,1.667,2.667,0.867,1.000,1.000,0.750,0,0,0,0,0,1,1,1.000,75.0,75.0,25.0
13," Herc",1,4,4,2,1,0,1,0,0,0,2,0.250,0,0,0,0,0,0,0,0,0,0,1.000,0.250,0.500,0.250,0.500,0.175,0.250,1.000,1.000,1,0,0,0,0,3,1,0.333,75.0,75.0,75.0
48," Krajewski",1,3,3,1,2,0,0,2,0,0,3,0.667,0,0,0,0,0,0,0,0,0,0,1.333,0.667,0.667,1.333,2.000,0.633,0.667,1.000,1.000,0,0,0,0,0,1,1,1.000,66.7,66.7,66.7
06," Mańdok",1,4,4,1,2,0,2,0,0,0,0,0.500,0,1,0,1,0,2,0,0,0,0,0.250,0.500,0.500,0.500,1.000,0.350,0.667,0.750,0.750,0,0,0,0,0,2,1,0.500,50.0,50.0,50.0
56," Potempa",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
27,"Zurkowski J ",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,2,2,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
16," Krolik",1,2,2,0,0,0,0,0,0,0,1,0.000,0,1,1,2,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,100.0,100.0,100.0
"","TOTALS",1,34,31,12,13,0,8,2,3,0,12,0.419,3,3,4,7,0,8,0,0,0,0,0.706,0.471,0.500,0.677,1.148,0.381,0.542,0.774,0.706,1,0,0,0,0,14,7,0.500,55.9,55.9,44.1
