"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
67," Kuchar",1,3,3,0,1,0,1,0,0,0,1,0.333,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.333,0.667,0.233,0.333,1.000,1.000,0,0,0,0,0,1,0,0.000,66.7,66.7,33.3
32," M. Kasinski",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
62," Kulik",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
69," Idzik ",1,3,3,1,1,0,0,0,1,0,0,0.333,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,1.000,1.333,0.400,0.333,1.000,1.000,0,0,0,0,0,0,0,0.000,33.3,33.3,0.0
36," D. Kurowski",1,1,0,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
38," D. Trzeciak",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,1,1,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.500,0.333,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
84," N. Serafin",1,3,3,0,1,0,1,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,0.333,1.000,1.000,0,0,0,0,0,1,1,1.000,33.3,33.3,33.3
18," Górecki",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
11," Cieciora",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,1,1,0,1,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
50," Y. OH",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
20," N. Myrek",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,100.0,100.0,100.0
55," Carmona J",1,1,0,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,2,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
73," Stefaniak",1,2,0,0,0,0,0,0,0,0,0,0.000,2,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,26,20,2,3,0,2,0,1,0,1,0.150,6,1,3,4,0,4,0,0,0,0,0.115,0.346,0.346,0.250,0.596,0.218,0.188,0.800,0.615,0,0,0,0,0,4,1,0.250,30.8,30.8,23.1
